index,group,color_th,color_en,hue_range_start_deg,hue_range_end_deg,h_deg,s,v,hex,r,g,b,method
1,rainbow,แดง,red,350,20,20,0.25,0.95,#F2CAB6,242,202,182,HSV grid sampling
2,rainbow,แดง,red,350,20,18.667,0.25,0.95,#F2C9B6,242,201,182,HSV grid sampling
3,rainbow,แดง,red,350,20,17.333,0.25,0.95,#F2C7B6,242,199,182,HSV grid sampling
4,rainbow,แดง,red,350,20,16,0.25,0.95,#F2C6B6,242,198,182,HSV grid sampling
5,rainbow,แดง,red,350,20,14.667,0.25,0.95,#F2C4B6,242,196,182,HSV grid sampling
6,rainbow,แดง,red,350,20,13.333,0.25,0.95,#F2C3B6,242,195,182,HSV grid sampling
7,rainbow,แดง,red,350,20,12,0.25,0.95,#F2C2B6,242,194,182,HSV grid sampling
8,rainbow,แดง,red,350,20,10.667,0.25,0.95,#F2C0B6,242,192,182,HSV grid sampling
9,rainbow,แดง,red,350,20,9.333,0.25,0.95,#F2BFB6,242,191,182,HSV grid sampling
10,rainbow,แดง,red,350,20,8,0.25,0.95,#F2BEB6,242,190,182,HSV grid sampling
11,rainbow,แดง,red,350,20,6.667,0.25,0.95,#F2BCB6,242,188,182,HSV grid sampling
12,rainbow,แดง,red,350,20,5.333,0.25,0.95,#F2BBB6,242,187,182,HSV grid sampling
13,rainbow,แดง,red,350,20,4,0.25,0.95,#F2BAB6,242,186,182,HSV grid sampling
14,rainbow,แดง,red,350,20,2.667,0.25,0.95,#F2B8B6,242,184,182,HSV grid sampling
15,rainbow,แดง,red,350,20,350,0.25,0.95,#F2B6C0,242,182,192,HSV grid sampling
16,rainbow,แดง,red,350,20,1.333,0.25,0.95,#F2B7B6,242,183,182,HSV grid sampling
17,rainbow,แดง,red,350,20,351.428,0.25,0.95,#F2B6BE,242,182,190,HSV grid sampling
18,rainbow,แดง,red,350,20,352.857,0.25,0.95,#F2B6BD,242,182,189,HSV grid sampling
19,rainbow,แดง,red,350,20,354.285,0.25,0.95,#F2B6BB,242,182,187,HSV grid sampling
